mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	84		
5	5	16	16	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	85		
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	86		
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	87		
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	88		
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	89		
5	5	18	18	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	90		
5	5	73/4	73/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	91		
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	92		
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	93		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	94		
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	95		
5	5	69/4	69/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	96		
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	97		
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	98		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	99		
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	100		
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	101		
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	102		
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	103		
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	104		
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	105		
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	106		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	107		
6	6	22	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	108		
6	6	89/4	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	109		
6	6	45/2	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	110		
6	6	91/4	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	111		
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	112		
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	113		
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	114		
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	115		
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	116		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	117		
6	6	93/4	93/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	118		
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	119		
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	120		
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	121		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	122		
7	7	26	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	123		
7	7	105/4	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	124		
7	7	53/2	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	125		
7	7	107/4	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	126		
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	127		
7	7	24	24	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	128		
7	7	97/4	97/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	129		
7	7	49/2	49/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	130		
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	131		
7	7	25	25	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	132		
7	7	101/4	101/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	133		
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	134		
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	135		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	136		
7	7	109/4	109/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	137		
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	138		
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	139		
8	8	28	28	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	140		
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	141		
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	142		
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	143		
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	144		
8	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	145		
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	146		
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	147		
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	148		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	149		
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	150		
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	151		
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	152		
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	153		
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	154		
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	155		
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	156		
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	157		
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	158		
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	159		
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	160		
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	161		
9	9	33	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	162		
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	163		
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	164		
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	165		
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	166		
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	167		
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	168		
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	169		
9	9	35	35	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	170		
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	171		
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	172		
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	173		
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	174		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	175		
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	176		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	177		
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	178		
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	179		
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	180		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	181		
10	10	36	36	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	182		
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	183		
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	184		
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	185		
10	10	37	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	186		
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	187		
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	188		
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	189		
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	190		
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	191		
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	192		
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	193		
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	194		
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	195		
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	196		
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	197		
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	198		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	199		
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	200		
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	201		
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	202		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	203		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	204		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	205		
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	206		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	207		
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	208		
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	209		
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	210		
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	211		
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	212		
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	213		
11	11	43	43	0.0	3/4	3/4	Chord	4/4	1	1	0	grace32	1/32	1	214		
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	215		
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	216		
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	217		
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	218		
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	219		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	220		
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	221		
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	222		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	223		
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	224		
12	12	44	44	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	225		
12	12	177/4	177/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	226		
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	227		
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	228		
12	12	45	45	0.0	1/4	1/4	Chord	4/4	1	1	0	grace32	1/32	1	229		
12	12	45	45	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	230		
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	231		
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	232		
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	233		
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	234		
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	235		
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	236		
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	237		
12	12	47	47	0.0	3/4	3/4	Chord	4/4	1	1	0	grace32	1/32	1	238		
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	239		
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	240		
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	241		
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	242		
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	243		
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	244		
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	245		
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	246		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	247		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	248		
13	13	48	48	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	249		
13	13	193/4	193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	250		
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	251		
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	252		
13	13	49	49	0.0	1/4	1/4	Chord	4/4	1	1	0	grace32	1/32	1	253		
13	13	49	49	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	254		
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	255		
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	256		
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	257		
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	258		
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	259		
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	260		
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	261		
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	262		
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	263		
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	264		
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	265		
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	266		
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	267		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	268		
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	269		
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	270		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	271		
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	272		
14	14	209/4	209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	273		
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	274		
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	275		
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	276		
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	277		
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	278		
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	279		
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	280		
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	281		
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	282		
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	283		
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	284		
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	285		
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	286		
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	287		
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	288		
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	289		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	290		
